"passiveorientationsafetyabs", "8.alp", -1, -1, -1, -1
"passiveorientationsafetyabs", "80.alp", 3355, 3368, 3339, 3368
"passiveorientationsafetyabs", "81.alp", 3745, 3749, 3732, 3766
"passiveorientationsafetyabs", "82.alp", 4483, 4466, 4456, 4495
"passiveorientationsafetyabs", "83.alp", 22611, 22545, 22627, 22547
"passiveorientationsafetyabs", "84.alp", 5254, 5237, 5268, 5270
"passiveorientationsafetyabs", "85.alp", 22631, 22607, 22837, 22855
"passiveorientationsafetyabs", "86.alp", 5904, 5902, 5883, 5862
"passiveorientationsafetyabs", "87.alp", 11283, 11264, 11301, 11303
"passiveorientationsafetyabs", "88.alp", 6508, 6476, 6489, 6499
"passiveorientationsafetyabs", "89.alp", 12011, 12004, 12074, 12159
"passiveorientationsafetyabs", "9.alp", -1, -1, -1, -1
"passiveorientationsafetyabs", "90.alp", 8204, 8163, 8165, 8188
"passiveorientationsafetyabs", "91.alp", 7977, 7644, 7614, 7695
"passiveorientationsafetyabs", "92.alp", 9326, 8998, 9043, 9464
"passiveorientationsafetyabs", "93.alp", -1, -1, -1, -1
"passiveorientationsafetyabs", "94.alp", 2821, 2823, 2808, 2839
"passiveorientationsafetyabs", "95.alp", 1103, 1059, 1056, 1059
"passiveorientationsafetyabs", "96.alp", 826, -1, -1, -1
"passiveorientationsafetyabs", "97.alp", 843, -1, -1, -1
"passiveorientationsafetyabs", "98.alp", 784, 780, 786, 776
"passiveorientationsafetyabs", "99.alp", 1137, 1139, 1142, 1135
