PassiveSafety,130.alp,13,13,13
PassiveSafety,131.alp,13,13,13
PassiveSafety,20.alp,13,13,13
PassiveSafety,88.alp,13,13,13
PassiveSafety,21.alp,15,13,13
PassiveSafety,8.alp,404,401,409
PassiveSafety,4.alp,400,403,409
PassiveSafety,6.alp,401,413,403
PassiveSafety,18.alp,698,438,442
PassiveSafety,85.alp,759,442,461
PassiveSafety,2.alp,459,455,450
PassiveSafety,10.alp,792,534,516
PassiveSafety,86.alp,883,596,629
PassiveSafety,19.alp,893,602,605
PassiveSafety,90.alp,1033,790,779
PassiveSafety,23.alp,1004,817,819
PassiveSafety,89.alp,1100,873,925
PassiveSafety,22.alp,1085,908,918
PassiveSafety,92.alp,1196,985,999
PassiveSafety,91.alp,1264,1051,1049
PassiveSafety,24.alp,1312,1081,1092
PassiveSafety,156.alp,1106,1105,1117
PassiveSafety,147.alp,1126,1116,1107
PassiveSafety,128.alp,1500,1200,1186
PassiveSafety,161.alp,1216,1213,1210
PassiveSafety,25.alp,1477,1217,1225
PassiveSafety,152.alp,1218,1255,1207
PassiveSafety,94.alp,1594,1355,1391
PassiveSafety,93.alp,1653,1373,1391
PassiveSafety,129.alp,1750,1391,1405
PassiveSafety,104.alp,1458,1436,1437
PassiveSafety,103.alp,1484,1448,1469
PassiveSafety,101.alp,1800,1502,1483
PassiveSafety,102.alp,1458,1581,1453
PassiveSafety,77.alp,1591,1592,1726
PassiveSafety,48.alp,1610,1592,1602
PassiveSafety,58.alp,1621,1592,1681
PassiveSafety,53.alp,1596,1593,1618
PassiveSafety,26.alp,1895,1607,1628
PassiveSafety,40.alp,1636,1617,1599
PassiveSafety,45.alp,1598,1665,1652
PassiveSafety,36.alp,1720,1686,1690
PassiveSafety,35.alp,1688,1690,1813
PassiveSafety,34.alp,1666,1713,1707
PassiveSafety,37.alp,1695,1720,1678
PassiveSafety,27.alp,2056,1728,1717
PassiveSafety,96.alp,2005,1738,1719
PassiveSafety,144.alp,2315,1750,1745
PassiveSafety,153.alp,2218,1759,1764
PassiveSafety,133.alp,1923,1765,1750
PassiveSafety,132.alp,1981,1791,1854
PassiveSafety,64.alp,1708,1835,1670
PassiveSafety,71.alp,1710,1913,1629
PassiveSafety,109.alp,1953,1918,94
PassiveSafety,105.alp,1925,1926,98
PassiveSafety,115.alp,1931,1926,95
PassiveSafety,107.alp,1958,1926,95
PassiveSafety,119.alp,1935,1928,95
PassiveSafety,113.alp,1921,1931,94
PassiveSafety,117.alp,1917,1932,94
PassiveSafety,111.alp,1930,1943,96
PassiveSafety,112.alp,1966,1948,97
PassiveSafety,108.alp,1941,1949,96
PassiveSafety,110.alp,1957,1950,96
PassiveSafety,106.alp,1995,1952,96
PassiveSafety,116.alp,1957,1953,96
PassiveSafety,118.alp,1954,1960,94
PassiveSafety,114.alp,1948,1962,94
PassiveSafety,120.alp,1968,1970,96
PassiveSafety,95.alp,2350,2015,2047
PassiveSafety,98.alp,2389,2063,2063
PassiveSafety,134.alp,2271,2104,2072
PassiveSafety,29.alp,2471,2104,2122
PassiveSafety,135.alp,2554,2362,2349
PassiveSafety,31.alp,2891,2507,2479
PassiveSafety,97.alp,2992,2664,2635
PassiveSafety,136.alp,3098,2899,2933
PassiveSafety,137.alp,3209,2966,2972
PassiveSafety,28.alp,2813,3190,3218
PassiveSafety,30.alp,3630,3211,3219
PassiveSafety,99.alp,3715,3245,3291
PassiveSafety,139.alp,3660,3453,3470
PassiveSafety,141.alp,4129,3903,3913
PassiveSafety,138.alp,4575,3947,3957
PassiveSafety,32.alp,4563,4044,4096
PassiveSafety,140.alp,6023,6078,5833
PassiveSafety,142.alp,6456,6571,6682
